seed,policy_mode,use_hysteresis,steps,fault_events,transitions,transitions_per_hour,nominal_pct,throttle_pct,safe_pct,recover_pct,safe_segments,safe_mean_duration_steps,power_min,power_max,temp_min,temp_max,flapping_index,experiment
72,rule_based,False,240.0,8.0,43.0,10.75,57.916666666666664,27.083333333333332,3.3333333333333335,11.666666666666666,7.0,1.1428571428571428,50.49418137694401,144.42467647055034,16.62760543270821,27.405303397917386,4.777777777777778,exp_minor
73,rule_based,False,240.0,11.0,40.0,10.0,59.166666666666664,25.833333333333332,3.3333333333333335,11.666666666666666,7.0,1.1428571428571428,53.62622618653822,144.2403259978546,15.973989879134386,28.814521888559415,3.3333333333333335,exp_minor
74,rule_based,False,240.0,6.0,36.0,9.0,53.333333333333336,31.25,2.9166666666666665,12.5,7.0,1.0,58.4442392676533,142.38010681888395,16.958011997348795,27.86871895871419,5.142857142857143,exp_minor
75,rule_based,False,240.0,5.0,33.0,8.25,62.083333333333336,28.75,2.9166666666666665,6.25,5.0,1.4,57.03536980225303,142.32830861371158,15.344361384477644,28.171880192267118,5.5,exp_minor
76,rule_based,False,240.0,4.0,28.0,7.0,63.333333333333336,26.25,2.0833333333333335,8.333333333333334,5.0,1.0,53.98831522737747,144.3408158459043,16.306847184735158,28.079533048758112,5.6,exp_minor
77,rule_based,False,240.0,5.0,33.0,8.25,62.916666666666664,31.25,1.6666666666666667,4.166666666666667,2.0,2.0,57.10994153510646,140.95071125410846,15.834819833342838,27.602083311410954,5.5,exp_minor
78,rule_based,False,240.0,6.0,30.0,7.5,62.5,26.666666666666668,2.9166666666666665,7.916666666666667,6.0,1.1666666666666667,52.31130534461431,144.49288046430064,16.090227842814354,28.277813676019,4.285714285714286,exp_minor
79,rule_based,False,240.0,9.0,36.0,9.0,58.333333333333336,30.0,2.9166666666666665,8.75,7.0,1.0,57.37854151561581,144.06451924622385,16.538255259172875,26.855401498542296,3.6,exp_minor
80,rule_based,False,240.0,4.0,34.0,8.5,61.25,25.416666666666668,3.3333333333333335,10.0,6.0,1.3333333333333333,51.87634549830791,141.12435098608495,14.72719358348726,27.849910392170678,6.8,exp_minor
81,rule_based,False,240.0,7.0,36.0,9.0,60.0,30.416666666666668,2.0833333333333335,7.5,4.0,1.25,55.193627118525086,142.1700457243761,15.803461657143675,27.234129697756536,4.5,exp_minor
82,rule_based,False,240.0,9.0,43.0,10.75,55.833333333333336,32.5,2.9166666666666665,8.75,5.0,1.4,56.95118417472972,140.42369427429907,17.295766063913632,27.556979070941157,4.3,exp_minor
83,rule_based,False,240.0,10.0,36.0,9.0,60.416666666666664,23.75,3.3333333333333335,12.5,7.0,1.1428571428571428,53.956811700974896,141.43774317556478,16.055179447461448,27.74146766455246,3.272727272727273,exp_minor
84,rule_based,False,240.0,6.0,43.0,10.75,60.833333333333336,29.166666666666668,1.6666666666666667,8.333333333333334,4.0,1.0,57.22348266941253,144.85011967638903,16.483295425712946,29.429188499570287,6.142857142857143,exp_minor
85,rule_based,False,240.0,2.0,22.0,5.5,62.083333333333336,35.416666666666664,0.4166666666666667,2.0833333333333335,1.0,1.0,58.18161000074777,140.81407934347885,16.586743561544967,27.633728529936423,7.333333333333333,exp_minor
86,rule_based,False,240.0,5.0,35.0,8.75,60.833333333333336,30.0,2.5,6.666666666666667,5.0,1.2,52.757033960558644,144.16260213732147,15.377325089606689,27.521438488599664,5.833333333333333,exp_minor
87,rule_based,False,240.0,4.0,38.0,9.5,60.0,26.666666666666668,2.5,10.833333333333334,6.0,1.0,58.578256158458345,142.25424312512186,15.803670948064493,28.8785945930697,7.6,exp_minor
88,rule_based,False,240.0,4.0,27.0,6.75,62.916666666666664,27.083333333333332,2.0833333333333335,7.916666666666667,5.0,1.0,56.08503342577009,145.6095345620419,15.821759522362132,27.5140631807707,5.4,exp_minor
89,rule_based,False,240.0,5.0,29.0,7.25,63.333333333333336,29.166666666666668,2.5,5.0,3.0,2.0,50.568673368154094,143.8099326227171,15.611402524702804,28.543656947156368,4.833333333333333,exp_minor
90,rule_based,False,240.0,3.0,31.0,7.75,65.41666666666667,27.083333333333332,1.6666666666666667,5.833333333333333,4.0,1.0,56.53279171714205,144.93432443529264,16.928212846185428,27.80023707745128,7.75,exp_minor
91,rule_based,False,240.0,8.0,26.0,6.5,60.833333333333336,27.083333333333332,2.5,9.583333333333334,5.0,1.2,54.48794902957377,141.96112790521977,15.036455968401768,28.304191914250968,2.888888888888889,exp_minor
92,rule_based,False,240.0,3.0,26.0,6.5,62.916666666666664,28.75,1.6666666666666667,6.666666666666667,4.0,1.0,55.774327846925516,143.96886196726118,15.876159133430594,26.695934373586365,6.5,exp_minor
93,rule_based,False,240.0,10.0,48.0,12.0,57.916666666666664,25.416666666666668,3.3333333333333335,13.333333333333334,8.0,1.0,55.219390231653435,141.90093423488568,15.089244284309363,28.277982791750052,4.363636363636363,exp_minor
94,rule_based,False,240.0,3.0,23.0,5.75,62.5,31.25,1.6666666666666667,4.583333333333333,3.0,1.3333333333333333,53.2633184487902,141.21543314517413,15.686914563171317,28.331461988342102,5.75,exp_minor
95,rule_based,False,240.0,6.0,31.0,7.75,63.75,29.583333333333332,1.6666666666666667,5.0,4.0,1.0,58.493815517399725,142.7477407021362,16.57872701178961,28.177781991852388,4.428571428571429,exp_minor
96,rule_based,False,240.0,4.0,32.0,8.0,63.333333333333336,26.666666666666668,2.9166666666666665,7.083333333333333,4.0,1.75,53.25329265064492,142.05317494579216,15.402284336326659,27.446005251574675,6.4,exp_minor
97,rule_based,False,240.0,3.0,31.0,7.75,60.416666666666664,27.916666666666668,2.0833333333333335,9.583333333333334,5.0,1.0,55.206935386597394,143.97104056803343,16.306277336635553,27.981448770870276,7.75,exp_minor
98,rule_based,False,240.0,5.0,33.0,8.25,63.333333333333336,26.25,2.5,7.916666666666667,5.0,1.2,54.79247636107411,145.18406680183142,16.130041203579093,27.37522379029602,5.5,exp_minor
99,rule_based,False,240.0,7.0,35.0,8.75,57.5,26.666666666666668,3.3333333333333335,12.5,7.0,1.1428571428571428,56.14550303864978,145.14117381711966,15.732171662042791,28.30112765253444,4.375,exp_minor
